park_id,park_name,candidate_id,candidate_name,candidate_address,latitude,longitude,coordinate_source,source_type,verification_status,source_label,source_url,source_excerpt,evidence_count,is_official_park_address,is_delivery_zone_explicit,review_note,last_checked_at
ttukseom,뚝섬한강공원,ttukseom-nadeulmok,뚝섬 나들목 앞,,37.5293000,127.0675000,manual,official,verified,미래한강본부 FAQ,https://hangang.seoul.go.kr/www/bbsPost/7/479/detail.do?mid=590,"뚝섬(2개소) : 뚝섬 나들목 앞, 뚝섬 안내센터 앞",1,false,true,공식 위치명은 확인됨. 좌표는 수동 보정값이라 추후 공식 지도 기준 재검수 필요,2026-04-14
ttukseom,뚝섬한강공원,ttukseom-information-center,뚝섬 안내센터 앞,,37.5311000,127.0678000,manual,official,verified,미래한강본부 FAQ,https://hangang.seoul.go.kr/www/bbsPost/7/479/detail.do?mid=590,"뚝섬(2개소) : 뚝섬 나들목 앞, 뚝섬 안내센터 앞",1,false,true,공식 위치명은 확인됨. 좌표는 수동 보정값이라 추후 공식 지도 기준 재검수 필요,2026-04-14
yeouido,여의도한강공원,yeouido-parking-2,제2주차장 앞,,37.5272000,126.9329000,manual,official,verified,미래한강본부 FAQ,https://hangang.seoul.go.kr/www/bbsPost/7/479/detail.do?mid=590,"여의도(3개소) : 제2주차장 앞, 여의도 나들목 앞, 물빛광장 진입구 옆",1,false,true,공식 위치명은 확인됨. 좌표는 수동 보정값이라 추후 공식 지도 기준 재검수 필요,2026-04-14
yeouido,여의도한강공원,yeouido-nadeulmok,여의도 나들목 앞,,37.5264000,126.9347000,manual,official,verified,미래한강본부 FAQ,https://hangang.seoul.go.kr/www/bbsPost/7/479/detail.do?mid=590,"여의도(3개소) : 제2주차장 앞, 여의도 나들목 앞, 물빛광장 진입구 옆",1,false,true,공식 위치명은 확인됨. 좌표는 수동 보정값이라 추후 공식 지도 기준 재검수 필요,2026-04-14
yeouido,여의도한강공원,yeouido-mulbit-plaza,물빛광장 진입구 옆,,37.5281000,126.9336000,manual,official,verified,미래한강본부 FAQ,https://hangang.seoul.go.kr/www/bbsPost/7/479/detail.do?mid=590,"여의도(3개소) : 제2주차장 앞, 여의도 나들목 앞, 물빛광장 진입구 옆",1,false,true,공식 위치명은 확인됨. 좌표는 수동 보정값이라 추후 공식 지도 기준 재검수 필요,2026-04-14
gangseo,강서한강공원,gangseo-eco-gate,습지생태 입구 배달 후보,서울 강서구 양천로27길 279-23,37.5792000,126.8211000,manual,unverified,needs_review,미래한강본부 강서 소개,https://hangang.seoul.go.kr/www/contents/675.do?mid=482,"주소 서울시 강서구 양천로27길 279-23. 배달존 명시는 없음",1,true,false,공식 공원 대표 주소만 확인됨. 현재 후보 좌표/명칭은 서비스 수동 초안,2026-04-14
yanghwa,양화한강공원,yanghwa-seonyu-bridge,선유교 남단 배달 후보,서울 영등포구 노들로 221,37.5411000,126.9015000,manual,unverified,needs_review,미래한강본부 양화 소개,https://hangang.seoul.go.kr/www/contents/678.do?mid=486,"주소 서울시 영등포구 노들로 221. 배달존 명시는 없음",1,true,false,공식 공원 대표 주소만 확인됨. 현재 후보 좌표/명칭은 서비스 수동 초안,2026-04-14
mangwon,망원한강공원,mangwon-seongsan-south,망원2주차장 근처 배달 후보,서울 마포구 합정동 205-5,37.5510000,126.9038000,manual,unverified,needs_review,웹 검색: 한강공원 밤 산책 코스 추천,https://ggujundab.tistory.com/entry/%ED%95%9C%EA%B0%95%EA%B3%B5%EC%9B%90-%EB%B0%A4-%EC%82%B0%EC%B1%85-%EC%BD%94%EC%8A%A4-%EC%B6%94%EC%B2%9C-%EB%B0%98%ED%8F%AC%C2%B7%EB%9A%9D%EC%84%AC%C2%B7%EB%A7%9D%EC%9B%90-%EC%A3%BC%EC%B0%A8-%EB%B0%B0%EB%8B%AC-%EC%9D%8C%EC%8B%9D-%EA%BF%80%ED%8C%81,"망원한강공원 배달존: 망원2주차장 근처, 잔디광장 인근",1,false,true,웹 검색에서 수령 지점 후보는 찾았지만 독립 출처 2건 교차검증은 아직 부족,2026-04-14
nanji,난지한강공원,nanji-mirror-fountain,난지캠핑장 입구 배달 후보,서울 마포구 한강난지로 162,37.5669000,126.8784000,manual,unverified,needs_review,웹 검색: 난지천공원 완전정복,https://workman24.tistory.com/entry/%F0%9F%8F%95%EF%B8%8F-%EC%83%81%EC%95%94-%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B3%B5%EC%9B%90-%EB%82%9C%EC%A7%80%EC%B2%9C%EA%B3%B5%EC%9B%90-%EC%99%84%EC%A0%84%EC%A0%95%EB%B3%B5-%ED%85%90%ED%8A%B8-%EA%B2%B9%EB%B2%9A%EA%BD%83-%ED%8F%AC%ED%86%A0%EC%A1%B4-%EB%B0%B0%EB%8B%AC%EC%A1%B4%EA%B9%8C%EC%A7%80-%EC%B4%9D%EC%A0%95%EB%A6%AC,"배달존 위치: 난지캠핑장 입구 앞 또는 인조잔디축구장 앞",1,false,true,웹 검색에서 수령 지점 후보는 찾았지만 독립 출처 2건 교차검증은 아직 부족,2026-04-14
banpo,반포한강공원,banpo-moonlight-plaza,반포2주차장 근처 배달 후보,서울 서초구 반포동 115-5,37.5098000,126.9956000,manual,community_verified,needs_review,웹 교차검증: 여행톡톡·By_lee,https://ggujundab.tistory.com/entry/%ED%95%9C%EA%B0%95%EA%B3%B5%EC%9B%90-%EB%B0%A4-%EC%82%B0%EC%B1%85-%EC%BD%94%EC%8A%A4-%EC%B6%94%EC%B2%9C-%EB%B0%98%ED%8F%AC%C2%B7%EB%9A%9D%EC%84%AC%C2%B7%EB%A7%9D%EC%9B%90-%EC%A3%BC%EC%B0%A8-%EB%B0%B0%EB%8B%AC-%EC%9D%8C%EC%8B%9D-%EA%BF%80%ED%8C%81,"반포한강공원 배달존은 반포2주차장 근처. 다른 웹 출처는 반포2주차장·달빛광장·잠수교 로터리 부근으로 안내",2,false,true,웹 검색 기준으로는 가장 일치도가 높지만 기관 공식 확인 전까지는 후보로 유지,2026-04-14
